ntd_id,agency_name,doing_business_as,state,reporter_type,organization_type,agency_url,match_tier,match_evidence
50476,Yates Township,,MI,Rural Reporter,"City, County or Local Government Unit or Department of Transportation",https://www.yatesdialaride.com/,no_candidate,
50481,Columbiana County/Community Action Rural Transit System,Community Action Rural Transit System,OH,Rural Reporter,Private-Non-Profit Corporation,https://caaofcc.org/carts/,no_candidate,
50485,City of Marion,Marion Transit System,IN,Rural Reporter,"City, County or Local Government Unit or Department of Transportation",https://cityofmarion.in.gov/government/departments/transportation,registry_domain,registry:bloomington-transit
50487,City of Sault Sainte Marie,,MI,Rural Reporter,"City, County or Local Government Unit or Department of Transportation",https://cms.clmcaa.org/our-services/transportation/,no_candidate,
50489,Paul Bunyan Transit,,MN,Rural Reporter,Private-Non-Profit Corporation,http://www.paulbunyantransit.com,no_candidate,
50502,City of Galesburg,City of Galesburg Public Transportation,IL,Rural Reporter,"City, County or Local Government Unit or Department of Transportation",https://www.ci.galesburg.il.us/government/community_development/public_transportation/index.php,no_candidate,
50505,City of Merrill,Merrill-Go-Round,WI,Rural Reporter,"City, County or Local Government Unit or Department of Transportation",https://ci.merrill.wi.us/transit,no_candidate,
50510,"Three Rivers Community Action, Inc.",Hiawathaland Transit,MN,Rural Reporter,Private-Non-Profit Corporation,https://www.threeriverscap.org/hiawathaland-transit/,weak_shared_token,registry:central-community-transit
50515,University of Minnesota,,MN,Full Reporter,University,www.umn.edu/pts,weak_shared_token,registry:minnesota-valley-transit-authority-mvta
50516,City of Plymouth,Plymouth Metrolink,MN,Full Reporter,"City, County or Local Government Unit or Department of Transportation",https://www.plymouthmn.gov/departments/administrative-services-/transit,no_candidate,
50518,SouthWest Transit,,MN,Full Reporter,Independent Public Agency or Authority of Transit Service,www.swtransit.org,no_candidate,
50519,Minnesota Valley Transit Authority,,MN,Full Reporter,Independent Public Agency or Authority of Transit Service,www.mvta.com,registry_name_exact,registry:minnesota-valley-transit-authority-mvta
50520,"Arrowhead Economic Opportunity Agency, Inc.",Arrowhead Transit,MN,Rural Reporter,Private-Non-Profit Corporation,https://arrowheadtransit.com/,no_candidate,
50521,Chicago Water Taxi (Wendella),,IL,Full Reporter,Private-For-Profit Corporation,www.chicagowatertaxi.com,registry_name_exact,registry:chicago-water-taxi
50522,Lake Erie Transportation Commission,Lake Erie Transit,MI,Full Reporter,Independent Public Agency or Authority of Transit Service,www.lakeerietransit.com,no_candidate,
50560,Village of Norridge,Norridge Bus Service,IL,Reduced Reporter,"City, County or Local Government Unit or Department of Transportation",https://www.villageofnorridge.com/our-village/resident-information/norridge-bus-service,no_candidate,
50561,Triton College,Success Express,IL,Reduced Reporter,University,https://www.triton.edu/about/campus/,no_candidate,
50569,Chicago State University,,IL,Reduced Reporter,University,https://www.csu.edu/dosa/resources/shuttle_bus.htm,weak_shared_token,"registry:chicago-transit-authority-cta,chicago-water-taxi"
55228,Menominee Indian Tribe of Wisconsin,Menominee Regional Public Transit,WI,Reduced Reporter,Tribe,http://www.mitwbus.com/,no_candidate,
55246,Fond du Lac Reservation,FDL Transit,MN,Reduced Reporter,Tribe,https://www.fdlband.org/services/transit.php,no_candidate,
55252,Bois Forte Band of Chippewa,Big Woods Transit,MN,Reduced Reporter,Tribe,http://www.boisforte.com/,no_candidate,
55258,Leech Lake Band of Ojibwe,,MN,Reduced Reporter,Tribe,https://www.llojibwe.org/admin/transit.html,no_candidate,
55270,White Earth Band of Chippewa,White Earth Public Transit,MN,Reduced Reporter,Tribe,http://www.whiteearth.com/,no_candidate,
55282,Bad River Band of Lake Superior Tribe of Chippewa,Bad River Tribe,WI,Reduced Reporter,Tribe,http://www.badriver-nsn.gov/,no_candidate,
55311,City of Cincinnati,The Connector,OH,Full Reporter,"City, County or Local Government Unit or Department of Transportation",http://www.cincinnati-oh.gov/streetcar,weak_shared_token,registry:cincinnati-metro
55312,City of Milwaukee,Milwaukee Streetcar System - The Hop Streetcar MKE,WI,Full Reporter,"City, County or Local Government Unit or Department of Transportation",https://thehopmke.com/,registry_name_exact,"registry:milwaukee-county-transit-system-mcts,milwaukee-county-transit-system-mcts-2127"
55314,Central Community Transit Joint Powers Board,Central Community Transit,MN,Rural Reporter,"MPO, COG or Other Planning Agency",http://www.cctbus.org,registry_name_exact,registry:central-community-transit
55319,Oneida-Vilas Transit Commission,Northwoods Transit Connections,WI,Rural Reporter,Independent Public Agency or Authority of Transit Service,http://northwoodstransit.org/,no_candidate,
55320,Faribault-Martin Counties Joint Powers,Prairie Lakes Transit,MN,Rural Reporter,"MPO, COG or Other Planning Agency",http://www.PLTransit.com,no_candidate,
55322,Western-Washtenaw Area Value Express,,MI,Rural Reporter,Private-Non-Profit Corporation,http://ridethewavebus.org/,weak_shared_token,registry:indian-trails-detroit-ann-arbor-express
55324,Washington County Commissioners,Community Action Bus Lines,OH,Rural Reporter,"City, County or Local Government Unit or Department of Transportation",http://wmcap.org/transportation.html,no_candidate,
55326,"United Community Action Partnership, Inc.",Community Transit,MN,Rural Reporter,Private-Non-Profit Corporation,www.communitytransitswmn.org,weak_shared_token,registry:central-community-transit
60001,City of Amarillo,Amarillo City Transit,TX,Reduced Reporter,"City, County or Local Government Unit or Department of Transportation",www.amarillotransit.com,registry_name_exact,registry:amarillo-city-transit
60006,City of El Paso,Sun Metro,TX,Full Reporter,"City, County or Local Government Unit or Department of Transportation",http://www.sunmetro.net,registry_name_exact,registry:el-paso-transportation-authority
60007,Fort Worth Transportation Authority,Trinity Metro,TX,Full Reporter,Independent Public Agency or Authority of Transit Service,https://ridetrinitymetro.org/,registry_name_exact,registry:fort-worth-transit-authority
60008,"Metropolitan Transit Authority of Harris County, Texas",METRO,TX,Full Reporter,Independent Public Agency or Authority of Transit Service,http://www.ridemetro.org/,catalog_domain,mdb:mdb-154
60009,City of Laredo,Laredo Transit Management Inc.,TX,Full Reporter,"City, County or Local Government Unit or Department of Transportation",http://www.elmetrotransit.com,no_candidate,
60010,City of Lubbock,Citibus,TX,Full Reporter,"City, County or Local Government Unit or Department of Transportation",http://www.citibus.com/,registry_name_exact,registry:citibus
60011,VIA Metropolitan Transit,VIA,TX,Full Reporter,Independent Public Agency or Authority of Transit Service,http://www.viainfo.net/,registry_ntd_id,"registry:via-metropolitan-transit-via,via-metropolitan-transit-via-2348"
60012,City of Waco,"Waco Transit System, Inc.",TX,Full Reporter,"City, County or Local Government Unit or Department of Transportation",https://www.waco-texas.com/Departments/Transit-System,no_candidate,
60013,City of Port Arthur,Port Arthur Transit,TX,Reduced Reporter,"City, County or Local Government Unit or Department of Transportation",https://www.portarthurtx.gov/201/Transit-Department,no_candidate,
60014,City of Brownsville,Brownsville Metro,TX,Full Reporter,"City, County or Local Government Unit or Department of Transportation",http://btxmetro.org,weak_shared_token,"registry:capital-metro,metro-houston-2060,sun-metro"
60015,City of Galveston,Galveston Island Transit,TX,Full Reporter,"City, County or Local Government Unit or Department of Transportation",galvestontx.gov/393/Transportation,no_candidate,
60016,City of Beaumont,Beaumont Municipal Transit System,TX,Full Reporter,"City, County or Local Government Unit or Department of Transportation",http://www.beaumonttransit.com/,no_candidate,
60017,Central Oklahoma Transportation and Parking Authority,EMBARK,OK,Full Reporter,"City, County or Local Government Unit or Department of Transportation",http://embarkok.com,registry_name_exact,"registry:embark,embark-2062"
60018,Metropolitan Tulsa Transit Authority,"Tulsa Transit, MetroLink Tulsa",OK,Full Reporter,"City, County or Local Government Unit or Department of Transportation",https://www.metrolinkok.org/,registry_name_exact,registry:metropolitan-tulsa-transit-authority-mtta
60019,City of Albuquerque,ABQRIDE,NM,Full Reporter,"City, County or Local Government Unit or Department of Transportation",http://www.cabq.gov/transit,registry_domain,registry:abq-ride
60022,Capital Area Transit System,,LA,Full Reporter,Independent Public Agency or Authority of Transit Service,http://www.brcats.com/,registry_name_exact,"registry:capital-area-transit-system-cats,capital-area-transit-system-cats-2065"
60023,City of Lake Charles,City Of Lake Charles Transit,LA,Reduced Reporter,"City, County or Local Government Unit or Department of Transportation",http://www.cityoflakecharles.com/transit,no_candidate,
60024,City of Shreveport,SporTran,LA,Full Reporter,"City, County or Local Government Unit or Department of Transportation",http://www.sportran.org/,weak_shared_token,registry:shreveport-and-bossier-city
