id,name,date,grade,score,correctness,freshness,completeness,realtime,days_until_expiry,service_horizon_status
marin-transit-2937,Marin Transit,2026-07-10,F,54.1,58.2,50.0,95.0,0.0,30,within_review_threshold
marshalltown-municipal-transit,Marshalltown Municipal Transit,2026-07-10,D,67.4,92.0,35.0,59.0,,21,within_review_threshold
marshalltown-municipal-transit-194,Marshalltown Municipal Transit,2026-07-10,D,67.4,92.0,35.0,59.0,,21,within_review_threshold
martha-s-vineyard-transit-authority,Martha's Vineyard Transit Authority,2026-07-10,B,83.9,92.0,100.0,59.7,,85,within_review_threshold
martha-s-vineyard-transit-authority-420,Martha's Vineyard Transit Authority,2026-07-10,B,83.9,92.0,100.0,59.7,,85,within_review_threshold
maryland-transit-administration,Local Bus,2026-07-10,D,66.7,58.5,71.7,74.1,,43,within_review_threshold
maryland-transit-administration-467,Commuter Bus,2026-07-10,F,54.8,40.8,85.0,50.1,,174,within_review_threshold
maryland-transit-administration-468,MARC Train,2026-07-10,D,60.7,53.2,85.0,51.9,,174,within_review_threshold
maryland-transit-administration-469,Light Rail,2026-07-10,C,70.8,54.5,85.0,82.1,,174,within_review_threshold
maryland-transit-administration-metro-subway,Metro SubwayLink,2026-07-10,C,75.3,69.0,85.0,76.5,,174,within_review_threshold
mason-city-public-transit,Mason City Public Transit,2026-07-10,C,70.9,99.2,35.0,60.0,,21,within_review_threshold
mason-city-public-transit-204,Mason City Public Transit,2026-07-10,C,70.9,99.2,35.0,60.0,,21,within_review_threshold
mason-transit-authority,Mason Transit Authority,2026-07-10,D,65.8,88.0,36.7,58.1,,22,within_review_threshold
mass-transportation-authority-flint,Mass Transportation Authority Flint,2026-07-10,F,45.6,56.0,0.0,67.5,,-2383,within_review_threshold
mass-transportation-authority-flint-2287,Mass Transportation Authority Flint,2026-07-10,C,75.2,88.0,100.0,37.5,,539,within_review_threshold
massachusetts-area-express-max,Massachusetts Area Express (MAX),2026-06-27,F,31.3,71.5,0.0,0.0,,,unknown
massachusetts-area-express-max-431,Massachusetts Area Express (MAX),2026-06-30,F,31.3,71.5,0.0,0.0,,,unknown
massachusetts-bay-transportation-authority-mbta,Massachusetts Bay Transportation Authority (MBTA),2026-07-10,C,75.1,34.5,95.0,98.8,96.6,57,within_review_threshold
